Player Name,Club,Annual wage in EUR,Non-Penalty Goals,Shots Total,Assists,Shot-Creating Actions,Passes Attempted,Pass Completion ,Progressive Passes,Progressive Carries,Successful Take-Ons,Touches (Att Pen),Progressive Passes Rec,Tackles,Interceptions,Blocks,Clearances,Aerials Won,Goals Against,Save Percentage,Save% (Penalty Kicks),Clean Sheet Percentage,Touches,Launch %,Goal Kicks,Avg. Length of Goal Kicks,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
Fabio González,Las Palmas,120000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Giovanni González,Mallorca,800000,0.04,0.52,0.04,1.6,45.58,0.749,3.13,0.97,0.52,0.86,3.53,2.72,1.08,0.89,2.31,1.3,,,,,,,,,,,
Hugo González,Valencia,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Iñaki González,Las Palmas,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Joan Gonzàlez,Lecce,640000,0.07,0.93,0.07,3.79,32.21,0.747,3.43,1.79,1.14,1.43,2.43,1.86,0.36,1.14,0.5,1.71,,,,,,,,,,,
Nicolás González,Fiorentina,3850000,0.52,4.05,0.1,3.11,37.14,0.715,4.67,2.65,1.61,6.43,8.97,1.35,0.62,1.09,0.36,2.8,,,,,,,,,,,
Peter González,Valencia,,0,2.29,0,2.11,20.39,0.655,2.29,2.64,1.58,3.34,5.8,0.88,1.23,1.76,1.58,1.76,,,,,,,,,,,
Urko González,Real Sociedad,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Anthony Gordon,Newcastle United,3625393,0.29,2.3,0.26,4.1,31.27,0.763,3.02,3.97,1.51,4.32,7.1,1.77,0.24,0.95,0.26,0.29,,,,,,,,,,,
Kaide Gordon,Liverpool,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Daniel Gore,Port Vale,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Leon Goretzka,Bayern Munich,18000000,0.18,1.98,0.24,2.71,69.11,0.897,6.46,2.5,0.48,2.25,2.19,1.59,1.5,1.86,1.86,1.38,,,,,,,,,,,
Mathieu Gorgelin,Le Havre,350000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Andoni Gorosabel,Alavés,1000000,0.03,0.55,0,1.87,42.9,0.804,3.56,1.98,0.79,1.28,3.73,1.87,0.9,0.73,2.07,0.76,,,,,,,,,,,
Robin Gosens,Union Berlin,2830000,0.22,1.23,0.09,2.28,45,0.732,3.45,0.98,0.19,2.28,4.4,2.15,1.33,1.83,2.72,2.15,,,,,,,,,,,
Mario Götze,Eintracht Frankfurt,3500000,0.13,0.63,0.08,3.29,57.78,0.79,5.09,1.04,0.92,1.83,5.38,2.04,0.5,0.92,0.46,0.25,,,,,,,,,,,
Amine Gouiri,Rennes,1200000,0.45,3.48,0.1,3.62,33.42,0.805,3.8,2.72,1.85,5.57,7.9,1.04,0.59,0.8,0.49,0.77,,,,,,,,,,,
Jeffrey Gouweleeuw,Augsburg,1230000,0.03,0.77,0,1.17,51.05,0.767,4.76,1.11,0.5,1.24,0.5,1.17,1.21,1.58,3.62,1.81,,,,,,,,,,,
Pablo Gozalbez,Valencia,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Jonathan Gradit,Lens,840000,0.03,0.18,0,1.38,59.22,0.855,7.24,0.96,0.18,0.24,0.21,1.71,1.56,1.41,2.77,2.5,,,,,,,,,,,
Jens Grahl,Eintracht Frankfurt,350000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Samuel Grandsir,Le Havre,510000,0.15,2.01,0.15,4.33,43.45,0.722,5.1,3.09,0.93,3.56,10.36,2.32,0.46,0.62,0.46,0.15,,,,,,,,,,,
Alberto Grassi,Empoli,1300000,0,1.19,0.05,1.28,43.26,0.813,3.48,0.73,0.32,0.96,0.73,1.33,1.83,1.33,2.06,1.28,,,,,,,,,,,
Ryan Gravenberch,Liverpool,9063481,0.17,1.8,0.06,3.84,41.1,0.819,6.57,2.79,1.74,3.2,5.52,2.09,1.1,1.74,0.99,0.7,,,,,,,,,,,
Adrian Grbić,FC Luzern,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Ivo Grbić,Sheffield United,860000,,,,,,0,,,,,,,,,,,2.4,6.59,0,0.91,38.08,5.02,10.32,52.6,0.74,1.2,11.9
Jack Grealish,Manchester City,18126963,0.16,1.88,0.16,4.97,50.52,0.85,3.98,7.59,1.68,7.17,13.19,0.99,0.42,0.99,0.42,0.31,,,,,,,,,,,
Mason Greenwood,Getafe,1500000,0.22,3.19,0.22,3.81,35.57,0.745,3.05,4.53,2.47,4.28,8.27,0.36,0.15,0.33,0.15,0.18,,,,,,,,,,,
Michael Gregoritsch,Freiburg,1140000,0.54,4.35,0.22,2.56,23.23,0.622,2.24,0.76,0.27,5.61,4.62,0.94,0.45,0.76,1.35,4.84,,,,,,,,,,,
Dominik Greif,Mallorca,300000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Antoine Griezmann,Atlético Madrid,12500000,0.49,2.64,0.27,4.35,49.54,0.783,5.02,2,0.74,4.15,6.38,1.19,0.49,0.94,1.01,0.59,,,,,,,,,,,
Vincenzo Grifo,Freiburg,950000,0.15,1.72,0.27,4.01,51.88,0.734,4.34,1.93,1.04,2.71,5.53,1.13,0.62,0.74,0.74,0.45,,,,,,,,,,,
Florian Grillitsch,Hoffenheim,2500000,0.04,0.86,0.24,2.45,68.65,0.851,6,1.31,0.49,0.33,0.86,2.16,2.04,1.55,3.67,1.39,,,,,,,,,,,
Álex Grimaldo,Leverkusen,6000000,0.31,2.2,0.44,4.37,68.66,0.822,5.27,2.87,0.72,3.49,8.42,1.55,0.72,0.98,1.27,0.41,,,,,,,,,,,
Christian Groß,Werder Bremen,780000,0,0.44,0.11,0.87,56.47,0.857,5.13,1.75,0.33,1.09,0.55,2.08,1.42,1.86,2.95,1.75,,,,,,,,,,,
Pascal Groß,Brighton & Hove Albion,3927509,0.11,1.41,0.26,4.83,88.21,0.86,8.05,2.27,0.46,2.05,4.98,1.92,0.46,1.12,0.84,0.37,,,,,,,,,,,
Brajan Gruda,Mainz 05,,0.17,1.62,0.12,5.67,36.46,0.648,3.94,5.5,3.82,5.15,9.43,1.27,0.29,0.87,0.23,0.87,,,,,,,,,,,
Ilia Gruev,Leeds United,720000,0,0.3,0.05,1.37,61.08,0.9,4.36,0.56,0.1,0.3,0.41,2.38,1.37,0.81,0.71,1.01,,,,,,,,,,,
Vicente Guaita,Celta Vigo,2400000,,,,,,0,,,,,,,,,,,1.48,7.09,0,2.4,32.45,3.94,7.9,44.8,0.55,1.01,13.6
Andrés Guardado,León,1400000,0,0.99,0,3.3,64.25,0.856,6.93,0.99,0.88,0.55,0.99,2.64,1.32,0.77,0.88,1.1,,,,,,,,,,,
Sergi Guardiola,Cádiz,390000,0.12,2.09,0.12,2.33,32.66,0.695,2.58,1.35,0.86,2.46,4.54,1.11,0.12,1.23,0.86,0.98,,,,,,,,,,,
Nemanja Gudelj,Sevilla,4100000,0.1,0.91,0.03,0.85,51.82,0.862,3.26,1.04,0.2,0.42,0.2,1.73,1.21,0.75,2.93,1.96,,,,,,,,,,,
Gabriel Gudmundsson,Lille,400000,0.07,1.05,0,1.64,39.6,0.79,2.62,2.75,0.65,2.62,4.45,1.57,1.05,1.05,1.9,0.72,,,,,,,,,,,
Gonçalo Guedes,Villarreal,5476112,0.26,2.33,0.26,3.11,29.54,0.772,4.84,3.54,0.69,3.8,8.46,0.43,0.17,0.78,0.17,0.17,,,,,,,,,,,
Axel Gueguin,Montpellier,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Marc Guéhi,Crystal Palace,3021160,0,0.25,0.04,1.02,60.32,0.869,3.01,0.64,0.42,0.59,0.25,1.23,0.85,1.02,4.02,1.52,,,,,,,,,,,
Mattéo Guendouzi,Lazio,3210000,0.06,1,0.12,2.25,42.77,0.827,5.07,1.85,0.43,1.94,3.34,1.24,0.73,0.85,0.94,0.46,,,,,,,,,,,
Javier Guerra,Valencia,,0.13,1.54,0.03,1.91,34.63,0.729,2.98,1.88,1.54,1,2.61,1.91,0.74,1,1.64,0.9,,,,,,,,,,,
Raphaël Guerreiro,Bayern Munich,8000000,0.21,1.55,0.1,3.71,73.98,0.854,7.37,2.94,0.82,3.04,6.85,1.34,1.08,0.52,0.67,0.21,,,,,,,,,,,
Axel Guessand,Volendam,120000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Evann Guessand,Nice,300000,0.24,2.72,0,2.78,16.85,0.742,1.93,2.23,1.39,6.04,6.83,0.97,0.66,0.66,0.42,1.45,,,,,,,,,,,
Ander Guevara,Alavés,900000,0.03,0.51,0,2.09,45.54,0.763,5.76,1.68,0.6,0.51,1.14,1.77,0.38,1.05,1.43,1.24,,,,,,,,,,,
