position,league,age,matches,starts,minutes,goals,annual_wage,non_penalty_goals,shots_total,assists,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,touches_att_pen,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,penalty_play
DF,Premier League,25.0,30,28,2559,2,1812696.0,0.07,0.67,0.0,0.88,34.01,0.753,1.44,0.53,0.39,1.16,0.74,2.15,1.2,1.44,4.68,1.76,-0.1817345838594364
MF,Ligue 1,23.0,30,28,2500,0,710000.0,0.0,1.28,0.28,3.67,60.85,0.894,6.92,1.73,0.76,1.24,2.66,0.86,0.66,0.76,0.97,0.31,-0.1817345838594364
DF,Serie A,27.0,14,12,971,0,2000000.0,0.0,0.26,0.05,2.32,54.06,0.729,3.79,1.05,0.32,0.47,3.58,1.63,1.05,0.95,2.74,1.0,-0.1817345838594364
MF,Ligue 1,27.0,28,15,1307,1,1820000.0,0.15,2.67,0.1,4.79,51.84,0.727,4.79,2.37,1.33,3.16,7.6,1.63,0.54,1.38,0.59,1.53,-0.1817345838594364
DF,Premier League,35.0,11,7,635,0,4229625.0,0.0,0.19,0.0,0.09,38.71,0.851,0.85,0.28,0.09,0.47,0.0,1.23,0.47,1.7,3.5,2.46,-0.1817345838594364
MF,Bundesliga,23.0,311,301,2778,10,1300000.0,0.03,0.6,0.17,3.8,85.9,0.886,7.54,1.29,0.56,0.93,2.35,1.65,0.93,1.36,1.03,1.12,-0.1817345838594364
"MF,DF",Bundesliga,22.0,31,24,2109,7,540000.0,0.31,1.58,0.04,2.55,31.13,0.63,2.37,3.42,1.1,4.43,7.11,1.84,0.79,1.71,0.75,0.92,-0.1817345838594364
"FW,MF",Premier League,21.0,183,30,561,20,2710000.0,0.59,4.19,0.08,3.93,38.6,0.872,4.44,2.6,0.92,6.61,9.88,0.75,0.42,1.26,0.5,0.33,-0.1817345838594364
FW,La Liga,32.0,31,28,2371,16,1350000.0,0.56,2.75,0.07,1.53,16.09,0.554,1.53,0.84,0.45,5.5,3.41,0.8,0.21,0.59,0.7,5.75,1.9204009795389807
DF,Bundesliga,26.0,31,29,2486,2,1680000.0,0.07,1.06,0.1,2.04,54.42,0.733,5.01,1.5,0.89,1.43,2.52,2.25,1.12,1.6,1.77,1.02,-0.1817345838594364
"FW,MF",Premier League,22.0,35,24,2346,5,1510580.0,0.19,1.96,0.31,2.53,26.78,0.701,1.88,3.64,1.07,4.6,7.4,1.27,0.31,0.84,0.73,0.61,-0.1817345838594364
FW,Premier League,23.0,35,34,2890,11,3625393.0,0.29,2.3,0.26,4.1,31.27,0.763,3.02,3.97,1.51,4.32,7.1,1.77,0.24,0.95,0.26,0.29,0.4216341450330366
DF,Bundesliga,32.0,31,30,2579,1,1150000.0,0.0,0.14,0.0,0.87,63.37,0.858,3.77,0.94,0.17,0.24,0.87,1.36,0.84,1.36,3.42,1.43,-0.1817345838594364
MF,Bundesliga,38.0,31,31,2576,1,940000.0,0.03,0.94,0.07,1.44,31.0,0.717,3.49,0.37,0.34,1.91,1.34,2.28,1.04,1.38,1.78,3.06,-0.1817345838594364
FW,La Liga,31.0,126,100,838,30,700000.0,0.29,2.67,0.1,2.29,16.0,0.69,1.52,1.05,0.76,3.14,3.71,0.76,0.1,0.76,1.14,2.86,-0.1817345838594364
FW,Premier League,28.0,13,5,448,1,15105802.0,0.28,1.39,0.14,2.36,29.63,0.775,2.64,1.81,1.39,3.2,8.21,0.7,0.14,0.83,0.56,1.53,-0.1817345838594364
DF,Serie A,23.0,16,14,1198,0,350000.0,0.0,0.3,0.08,1.65,46.65,0.834,2.48,2.63,0.9,1.2,2.93,2.78,0.68,1.28,2.4,0.98,-0.1817345838594364
DF,Bundesliga,22.0,22,11,1010,0,120000.0,0.0,0.23,0.15,1.37,78.86,0.886,5.8,0.61,0.15,0.38,0.76,1.76,0.69,1.3,2.44,1.76,-0.1817345838594364
"FW,MF",La Liga,33.0,31,29,2464,16,12500000.0,0.49,2.64,0.27,4.35,49.54,0.783,5.02,2.0,0.74,4.15,6.38,1.19,0.49,0.94,1.01,0.59,2.2317403317104554
FW,Premier League,24.0,32,24,2015,8,1208464.0,0.36,2.99,0.09,3.04,27.29,0.696,2.68,3.71,2.01,5.09,7.95,0.98,0.27,1.65,0.85,2.14,-0.1817345838594364
MF,Bundesliga,25.0,312,262,2491,20,1900000.0,0.07,1.47,0.1,2.58,48.98,0.775,5.37,1.95,1.12,1.12,2.02,2.65,2.55,1.5,2.51,2.27,-0.1817345838594364
DF,Premier League,26.0,36,36,3188,0,3021160.0,0.0,0.43,0.16,1.95,56.14,0.736,3.5,2.83,1.04,1.74,5.32,2.49,2.14,1.47,3.15,1.18,-0.1817345838594364
DF,Serie A,24.0,34,29,2426,0,960000.0,0.0,0.52,0.1,2.58,49.21,0.703,4.46,2.26,0.52,0.73,3.55,1.46,0.91,1.22,2.65,0.94,-0.1817345838594364
"FW,MF",Serie A,37.0,32,31,2645,6,2410000.0,0.22,1.98,0.22,3.94,47.08,0.73,4.71,2.08,0.5,1.89,6.05,0.68,0.25,0.28,0.74,0.0,0.4216341450330366
"FW,MF",La Liga,32.0,26,6,729,0,640000.0,0.0,2.1,0.25,3.46,26.17,0.717,2.72,2.22,1.85,3.95,5.68,1.48,0.74,0.62,0.49,1.6,0.1102947928615624
DF,La Liga,32.0,24,23,2015,3,880000.0,0.13,1.07,0.0,0.73,46.0,0.855,2.95,0.94,0.0,1.62,0.13,1.15,1.45,1.67,4.62,5.0,-0.1817345838594364
DF,La Liga,31.0,31,28,2529,1,14580000.0,0.02,0.64,0.05,0.76,59.59,0.897,2.5,0.52,0.05,0.74,0.19,0.86,0.45,1.17,3.02,1.57,-0.1817345838594364
"FW,MF",Serie A,28.0,34,23,2105,5,2960000.0,0.15,2.19,0.04,1.61,25.54,0.784,2.22,0.81,0.54,3.45,4.68,0.73,0.23,0.31,0.46,2.72,1.0250028739255097
MF,La Liga,27.0,28,20,1396,3,840000.0,0.18,1.41,0.06,2.09,33.6,0.687,3.44,2.27,0.86,1.97,3.81,1.66,0.8,1.6,0.98,0.37,-0.1817345838594364
FW,Premier League,24.0,29,15,1324,1,12084642.0,0.05,2.64,0.05,3.72,40.12,0.788,4.42,3.56,1.78,3.51,9.65,2.53,0.92,1.89,0.65,0.22,-0.1817345838594364
"FW,MF",Serie A,29.0,19,7,715,2,2780000.0,0.2,2.13,0.3,3.44,39.79,0.85,3.64,2.02,0.71,3.95,6.78,0.61,0.2,0.71,0.4,1.42,-0.1817345838594364
"FW,MF",La Liga,19.0,9,3,287,4,5200000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Serie A,27.0,24,21,1865,0,900000.0,0.0,0.18,0.0,0.57,47.4,0.827,2.2,0.35,0.0,0.75,0.13,1.23,0.92,1.23,5.59,2.64,-0.1817345838594364
DF,La Liga,35.0,18,18,1600,0,460000.0,0.0,0.28,0.05,0.51,41.37,0.852,1.29,0.09,0.05,0.6,0.0,0.51,0.87,1.06,5.33,1.7,-0.1817345838594364
DF,La Liga,30.0,13,5,632,0,2200000.0,0.0,0.66,0.09,1.03,52.26,0.842,3.18,0.66,0.56,1.31,0.66,1.31,0.84,1.31,2.81,2.53,-0.1817345838594364
FW,Serie A,30.0,30,6,820,3,4490000.0,0.27,3.42,0.09,3.24,25.29,0.783,2.34,0.99,0.45,5.67,4.77,0.9,0.36,0.72,0.36,2.25,-0.1817345838594364
FW,Serie A,25.0,35,34,2802,5,1150000.0,0.16,2.67,0.13,3.47,28.39,0.692,3.02,3.89,1.96,3.66,8.45,0.93,0.45,0.9,0.32,0.19,-0.1817345838594364
FW,Premier League,22.0,138,60,542,10,2416928.0,0.17,2.16,0.17,1.49,20.09,0.843,1.33,2.16,2.49,6.48,7.31,0.5,0.0,1.0,0.5,1.66,-0.1817345838594364
DF,Serie A,32.0,21,18,1515,0,3150000.0,0.0,0.31,0.0,0.98,67.36,0.919,2.93,0.77,0.21,0.93,0.57,1.54,1.44,1.03,2.62,0.82,-0.1817345838594364
DF,La Liga,21.0,19,13,1125,0,400000.0,0.0,0.24,0.18,1.76,60.61,0.888,4.24,2.24,0.36,0.73,1.15,1.88,0.91,0.91,2.79,0.67,-0.1817345838594364
"DF,FW",La Liga,23.0,11,3,255,0,170000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
FW,Ligue 1,22.0,30,25,2139,10,1500000.0,0.33,2.51,0.04,2.98,20.31,0.808,1.49,1.13,0.62,4.51,7.42,0.25,0.15,0.51,0.25,0.33,1.0250028739255097
"FW,MF",Ligue 1,25.0,20,15,1246,5,750000.0,0.42,2.32,0.18,3.98,28.57,0.773,3.45,4.69,2.2,4.81,9.09,0.89,0.12,0.65,0.59,0.59,-0.1817345838594364
MF,Bundesliga,25.0,22,10,1003,2,1000000.0,0.18,2.02,0.28,5.8,51.81,0.764,5.52,1.38,1.1,2.39,5.52,1.47,0.64,1.66,0.83,0.55,-0.1817345838594364
"FW,MF",Ligue 1,26.0,26,18,1539,0,600000.0,0.04,1.25,0.13,2.75,31.2,0.743,3.8,3.59,2.0,2.71,6.76,1.17,0.42,1.0,0.67,0.38,-0.1817345838594364
DF,Ligue 1,22.0,29,29,2597,0,420000.0,0.0,0.49,0.0,1.35,50.91,0.809,3.64,0.69,0.35,1.11,0.94,1.8,2.08,1.18,3.05,1.7,-0.1817345838594364
FW,La Liga,26.0,34,30,2419,20,2500000.0,0.56,2.72,0.26,1.97,13.95,0.704,0.89,0.63,0.6,6.36,4.02,0.15,0.0,0.3,0.6,1.45,3.127138437323927
MF,Serie A,27.0,32,23,1951,1,3210000.0,0.05,0.48,0.14,3.43,68.04,0.911,6.08,0.92,0.43,0.34,1.21,2.12,0.82,1.3,0.34,0.34,-0.1817345838594364
DF,Ligue 1,23.0,28,27,2296,2,3640000.0,0.06,0.77,0.0,0.8,63.66,0.879,5.98,1.43,0.21,1.01,0.77,1.1,1.13,1.43,3.24,1.69,-0.1817345838594364
"MF,DF",Premier League,38.0,30,26,2190,0,2416928.0,0.0,0.53,0.0,2.34,41.04,0.69,3.23,1.62,0.44,0.85,2.46,2.06,1.01,0.93,2.02,0.77,-0.1817345838594364
FW,La Liga,26.0,16,3,459,2,1770000.0,0.39,2.16,0.2,3.14,22.35,0.719,1.96,1.18,0.78,5.69,5.88,0.39,0.0,0.2,0.78,3.33,-0.1817345838594364
MF,Bundesliga,21.0,24,12,1153,0,2830000.0,0.0,0.31,0.0,0.86,45.66,0.853,3.75,0.23,1.25,0.47,0.7,2.5,1.09,1.33,2.26,1.17,-0.1817345838594364
MF,Bundesliga,27.0,33,31,2623,0,470000.0,0.0,0.66,0.1,1.88,63.67,0.89,4.74,0.79,0.2,0.49,1.12,2.3,0.89,1.32,1.48,1.51,-0.1817345838594364
DF,Bundesliga,26.0,43,40,391,0,2000000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"MF,DF",La Liga,24.0,27,22,1987,3,12500000.0,0.1,1.05,0.03,1.57,67.8,0.908,5.11,1.12,0.32,0.8,0.58,1.66,1.34,1.02,2.3,2.24,-0.1817345838594364
"MF,DF",Bundesliga,27.0,30,20,1744,1,480000.0,0.05,0.64,0.05,1.67,56.52,0.784,4.38,2.61,0.54,2.36,5.32,2.12,0.74,1.23,1.97,1.53,-0.1817345838594364
DF,Premier League,25.0,31,27,2482,0,1510580.0,0.0,0.29,0.0,0.58,32.24,0.757,1.38,0.36,0.18,0.94,0.47,1.7,1.2,1.41,5.26,2.21,-0.1817345838594364
DF,Premier League,26.0,31,29,2579,2,4833857.0,0.06,0.73,0.0,0.41,76.26,0.894,4.2,1.07,0.47,1.04,0.7,1.11,0.63,0.95,3.41,2.59,-0.1817345838594364
DF,Serie A,19.0,1,0,45,0,120000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,La Liga,35.0,34,29,2693,2,8330000.0,0.05,0.28,0.0,0.55,58.29,0.926,2.73,0.44,0.14,0.67,0.21,1.03,0.67,1.36,3.58,1.63,-0.1817345838594364
"FW,MF",Bundesliga,25.0,13,1,321,1,840000.0,0.11,0.96,0.0,3.21,39.44,0.816,4.28,2.03,1.07,1.5,2.03,2.57,1.39,0.96,1.82,1.28,0.1102947928615624
DF,Premier League,29.0,1,0,12,0,7301482.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
FW,La Liga,30.0,29,27,2114,9,1250000.0,0.38,2.57,0.07,3.25,29.75,0.768,3.12,3.59,2.12,5.96,7.19,2.26,0.89,1.71,0.62,0.75,-0.1817345838594364
MF,Ligue 1,26.0,1611,168,2089,10,1300000.0,0.04,0.72,0.04,2.16,50.02,0.867,5.53,0.57,0.45,0.72,0.91,1.82,1.82,1.25,2.08,1.59,-0.1817345838594364
MF,Ligue 1,24.0,21,15,1209,2,4150000.0,0.1,1.52,0.05,3.08,57.88,0.882,6.6,1.96,0.68,1.42,4.6,1.56,0.78,0.73,0.44,0.39,-0.1817345838594364
MF,Bundesliga,27.0,23,10,1071,0,840000.0,0.06,1.0,0.25,2.43,41.04,0.783,4.99,2.12,1.19,1.93,3.37,1.68,0.81,1.87,1.19,1.0,-0.1817345838594364
DF,La Liga,32.0,15,11,1023,1,1600000.0,0.05,0.4,0.0,0.96,63.89,0.914,4.55,0.71,0.0,0.56,0.3,0.86,0.96,0.81,3.18,0.91,-0.1817345838594364
DF,Ligue 1,23.0,20,18,1606,5,360000.0,0.29,1.01,0.1,1.15,69.13,0.92,5.23,0.91,0.38,1.73,0.62,1.44,1.2,0.91,2.54,1.73,-0.1817345838594364
FW,Ligue 1,24.0,15,5,514,2,900000.0,0.35,2.59,0.17,2.76,19.35,0.777,0.69,0.86,0.52,4.49,7.08,0.52,0.0,0.52,1.21,3.11,-0.1817345838594364
MF,Ligue 1,29.0,30,22,1926,0,2000000.0,0.04,1.27,0.07,2.01,54.76,0.871,5.67,0.67,0.53,0.78,1.41,2.08,1.44,0.85,1.59,2.01,-0.1817345838594364
MF,Bundesliga,24.0,20,14,1229,0,1350000.0,0.0,0.29,0.07,1.24,40.72,0.831,3.66,0.95,0.51,0.51,1.03,1.1,2.2,0.88,2.12,1.24,-0.1817345838594364
DF,Serie A,31.0,22,20,1638,0,830000.0,0.0,0.15,0.1,1.03,44.61,0.782,3.56,0.83,0.62,0.15,1.08,2.17,1.19,1.19,2.74,1.19,-0.1817345838594364
"FW,MF",La Liga,33.0,18,0,199,2,280000.0,,,,,,0.0,,,,,,,,,,,0.4216341450330366
"MF,DF",Ligue 1,22.0,27,25,2222,0,550000.0,0.0,0.36,0.0,1.01,40.87,0.854,2.79,0.77,0.24,0.77,0.49,1.9,1.09,1.98,2.51,1.17,-0.1817345838594364
DF,Premier League,27.0,13,9,756,0,12084642.0,0.0,1.43,0.12,2.62,58.93,0.754,2.98,2.62,0.83,3.33,7.02,1.79,0.48,1.31,2.26,1.43,-0.1817345838594364
DF,Premier League,31.0,17,12,1090,1,4833857.0,0.07,0.85,0.0,1.42,67.07,0.891,5.41,1.21,0.28,1.64,1.5,1.99,0.71,1.28,3.13,2.71,-0.1817345838594364
DF,Premier League,26.0,15,13,1120,0,4531741.0,0.0,1.21,0.0,1.37,38.89,0.694,3.46,0.88,0.4,1.53,2.09,2.41,1.29,1.13,4.58,2.01,-0.1817345838594364
"DF,FW",Premier League,24.0,14,4,544,0,1208464.0,0.0,0.97,0.0,1.39,57.03,0.751,3.76,2.78,1.53,0.56,5.7,1.67,0.83,0.83,2.23,0.97,-0.1817345838594364
DF,Premier League,34.0,16,15,1272,2,3323277.0,0.12,0.74,0.0,1.05,46.12,0.773,3.1,0.68,0.25,2.17,0.56,2.05,0.93,1.74,4.15,2.48,-0.1817345838594364
"MF,DF",Premier League,29.0,23,13,1363,0,1208464.0,0.0,0.26,0.13,1.52,40.01,0.736,3.57,1.06,0.46,0.59,2.91,1.45,0.53,1.19,1.98,0.4,-0.1817345838594364
DF,Premier League,26.0,36,34,2920,4,9063481.0,0.09,0.49,0.12,2.34,65.06,0.848,5.74,1.28,0.28,1.77,4.44,1.35,0.93,1.31,2.13,1.1,-0.1817345838594364
DF,Bundesliga,27.0,24,24,2021,1,500000.0,0.05,0.79,0.05,0.37,37.05,0.8,1.07,0.09,0.33,1.17,0.28,1.86,0.75,1.26,4.57,2.14,-0.1817345838594364
"FW,MF",La Liga,28.0,19,2,351,1,380000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
MF,Ligue 1,33.0,29,28,2480,3,1560000.0,0.1,0.79,0.0,1.73,68.43,0.826,7.04,0.85,0.33,1.05,1.15,3.31,1.15,1.21,2.03,2.62,-0.1817345838594364
"FW,MF",Ligue 1,30.0,31,28,2353,9,2280000.0,0.12,1.58,0.26,4.31,57.26,0.766,6.36,1.06,0.32,2.17,5.01,1.06,0.94,1.11,1.32,0.29,4.0418465183878745
DF,Bundesliga,27.0,33,28,2526,1,3800000.0,0.03,1.18,0.21,3.21,60.21,0.783,4.33,1.79,1.12,2.3,5.48,2.75,1.12,1.73,1.36,0.76,-0.1817345838594364
DF,Ligue 1,29.0,14,6,692,2,3750000.0,0.26,1.3,0.13,2.86,59.31,0.68,4.42,3.25,1.17,1.56,10.66,0.39,0.78,1.04,2.6,0.39,-0.1817345838594364
DF,Serie A,28.0,22,20,1582,0,6410000.0,0.0,0.68,0.08,1.45,69.53,0.888,4.5,1.16,0.08,1.36,2.25,1.77,1.49,1.32,2.81,2.01,-0.1817345838594364
MF,Ligue 1,33.0,7,3,286,0,1000000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"FW,MF",Ligue 1,26.0,12,1,278,0,520000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
FW,Bundesliga,20.0,31,17,1526,14,3500000.0,0.73,2.88,0.1,2.3,19.55,0.675,1.37,1.32,1.08,4.79,5.67,0.83,0.2,1.37,1.32,2.2,-0.1817345838594364
DF,Bundesliga,29.0,22,13,1155,0,900000.0,0.0,0.63,0.07,1.88,55.75,0.705,5.64,2.02,0.42,0.77,3.62,2.09,0.56,1.32,2.09,1.18,-0.1817345838594364
DF,Premier League,23.0,17,14,1248,0,5438089.0,0.0,0.43,0.07,1.59,79.9,0.91,3.17,0.14,0.0,0.65,0.22,1.44,1.3,1.44,4.4,1.95,-0.1817345838594364
"FW,MF",Premier League,27.0,8,1,116,0,1510580.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Serie A,31.0,35,31,2755,0,1480000.0,0.02,0.39,0.02,0.64,52.08,0.876,2.62,0.21,0.09,0.98,0.39,1.48,1.78,1.48,3.37,2.87,-0.1817345838594364
MF,Serie A,26.0,6,0,199,0,500000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Bundesliga,29.0,33,33,2924,1,1200000.0,0.03,0.86,0.0,1.3,49.64,0.716,3.78,0.76,0.32,1.52,1.14,2.92,1.71,2.0,3.72,4.45,-0.1817345838594364
DF,La Liga,34.0,2,0,2,0,480000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"FW,MF",Premier League,29.0,32,28,2488,6,18126963.0,0.27,1.48,0.19,4.38,65.32,0.867,6.03,4.71,1.21,5.4,9.59,1.75,0.58,1.12,0.66,0.14,-0.1817345838594364
"FW,MF",La Liga,28.0,92,50,444,10,4706038.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
FW,Ligue 1,21.0,20,2,439,0,600000.0,0.13,1.63,0.13,2.39,20.24,0.733,2.14,1.13,0.88,3.65,5.78,1.26,0.13,2.01,0.5,2.64,-0.1817345838594364
FW,Premier League,26.0,291,91,1024,30,3021160.0,0.22,3.48,0.0,3.11,15.7,0.632,1.26,1.19,1.33,5.26,5.19,1.11,0.22,0.96,1.41,3.85,2.738559183350551
"MF,DF",La Liga,23.0,25,15,1359,0,180000.0,0.0,0.46,0.0,1.26,49.6,0.818,5.36,1.46,0.79,0.93,1.85,2.72,1.39,2.05,1.79,1.79,-0.1817345838594364
MF,La Liga,22.0,27,17,1538,0,500000.0,0.0,1.48,0.05,1.92,37.32,0.828,2.91,1.54,1.37,1.04,2.14,1.76,0.22,1.1,0.71,1.04,-0.1817345838594364
"FW,MF",Ligue 1,25.0,27,10,926,1,500000.0,0.1,2.43,0.1,3.3,38.39,0.691,4.18,3.69,1.56,3.69,8.36,2.14,0.78,0.87,0.29,1.07,-0.1817345838594364
"FW,MF",Ligue 1,20.0,5,1,113,0,270000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
MF,Premier League,22.0,29,24,2110,0,1208464.0,0.0,0.96,0.06,2.69,83.09,0.907,7.49,1.57,0.38,0.51,1.47,1.06,0.58,0.8,0.64,0.51,-0.1817345838594364
DF,Ligue 1,29.0,1,0,16,0,1560000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
FW,Premier League,31.0,32,17,1411,6,2114812.0,0.38,1.9,0.13,2.15,30.76,0.745,2.91,2.09,0.51,3.29,5.82,1.33,0.32,1.52,0.89,0.82,-0.1817345838594364
MF,Ligue 1,28.0,4,3,210,0,270000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
FW,La Liga,31.0,117,42,664,0,1600000.0,0.19,2.7,0.13,2.76,23.94,0.775,1.94,0.75,0.44,5.01,5.52,0.38,0.25,0.38,0.31,1.25,-0.1817345838594364
FW,La Liga,27.0,27,25,2153,15,4790000.0,0.45,1.85,0.04,2.22,23.41,0.753,2.79,1.15,0.74,3.04,4.31,0.37,0.16,0.29,0.66,2.01,2.2317403317104554
"DF,FW",Bundesliga,26.0,2,0,46,0,640000.0,0.0,0.3,0.3,1.96,61.03,0.79,4.6,1.96,0.98,0.91,5.28,2.26,1.58,1.28,2.41,0.83,-0.1817345838594364
MF,Premier League,24.0,20,20,1652,0,9063481.0,0.0,0.25,0.05,1.92,53.4,0.889,4.27,1.03,0.93,0.69,0.49,2.55,1.13,1.13,0.79,0.98,-0.1817345838594364
MF,Premier League,22.0,23,7,791,0,3323277.0,0.0,1.21,0.0,1.43,50.94,0.847,2.97,0.88,1.21,0.33,1.65,3.96,0.55,1.32,0.77,0.66,-0.1817345838594364
DF,Ligue 1,27.0,23,22,1928,0,640000.0,0.0,0.64,0.09,0.47,40.87,0.827,2.53,0.17,0.17,0.94,0.13,2.31,1.37,1.54,5.61,2.65,-0.1817345838594364
MF,La Liga,25.0,27,25,2196,0,4850000.0,0.0,0.03,0.0,1.04,49.41,0.903,3.92,1.08,0.76,0.17,0.9,1.56,1.08,0.94,0.87,0.9,-0.1817345838594364
"FW,MF",Serie A,27.0,17,12,1143,4,2560000.0,0.29,2.12,0.0,1.9,19.85,0.824,1.75,1.39,1.09,2.7,4.38,0.29,0.22,0.37,0.58,0.51,0.4216341450330366
DF,Bundesliga,32.0,2,1,106,0,1900000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"FW,MF",Ligue 1,21.0,253,183,1640,40,6600000.0,0.19,2.08,0.38,4.2,35.24,0.773,3.63,5.6,3.03,7.15,12.98,2.04,0.83,1.67,0.72,0.91,-0.1817345838594364
DF,Ligue 1,22.0,33,33,2959,0,500000.0,0.0,0.36,0.09,1.91,56.36,0.833,3.93,2.57,1.72,0.64,4.96,2.93,1.21,0.85,2.09,0.91,-0.1817345838594364
"FW,MF",La Liga,24.0,30,17,1478,8,7290000.0,0.47,2.15,0.3,4.81,42.04,0.826,4.29,4.25,3.05,5.54,9.19,1.67,0.3,0.82,0.13,0.21,-0.1817345838594364
"FW,MF",La Liga,27.0,30,25,2248,4,2200000.0,0.25,2.42,0.25,4.02,46.62,0.759,4.69,1.78,1.04,2.48,4.63,1.75,0.4,0.77,0.77,0.95,-0.1817345838594364
DF,Serie A,22.0,5,2,178,0,770000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
MF,Bundesliga,27.0,4,3,171,0,560000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
FW,Ligue 1,27.0,5,2,182,1,4020000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Ligue 1,29.0,32,32,2880,1,540000.0,0.03,0.54,0.03,0.83,53.8,0.821,3.51,0.77,0.09,0.89,0.23,1.66,1.66,1.77,4.2,2.8,-0.1817345838594364
"FW,MF",Bundesliga,23.0,30,14,1267,2,2760000.0,0.13,1.3,0.06,3.05,32.99,0.754,3.38,2.08,1.88,3.57,5.65,2.14,0.32,2.01,0.32,0.97,-0.1817345838594364
FW,Premier League,22.0,313,223,2232,50,4229625.0,0.19,2.01,0.35,2.85,29.96,0.718,2.81,4.09,1.04,5.98,11.41,1.2,0.42,1.66,0.46,0.23,-0.1817345838594364
"FW,MF",Serie A,24.0,6,1,96,0,960000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Serie A,22.0,10,7,579,0,120000.0,0.1,0.41,0.0,0.52,63.96,0.832,2.07,0.83,0.21,0.52,1.03,2.38,0.72,1.34,2.69,1.24,-0.1817345838594364
"FW,MF",Premier League,29.0,34,34,3059,10,14501570.0,0.19,2.59,0.23,5.95,60.88,0.724,8.07,2.45,0.68,3.2,5.27,1.98,0.72,1.38,1.33,0.61,2.523769708431454
MF,Premier League,26.0,36,36,3173,6,9667714.0,0.16,1.2,0.16,3.86,61.1,0.839,7.43,1.63,1.79,1.88,1.94,2.46,1.02,1.45,0.7,0.45,-0.1817345838594364
DF,La Liga,26.0,9,7,640,0,150000.0,0.0,0.65,0.0,1.96,46.31,0.77,3.44,1.31,1.31,0.65,3.6,1.47,0.49,1.31,3.76,0.33,-0.1817345838594364
DF,La Liga,24.0,15,14,1226,1,900000.0,0.07,0.51,0.0,0.88,42.14,0.711,3.01,0.59,0.44,0.88,0.88,2.42,1.76,1.69,3.23,1.47,-0.1817345838594364
"MF,DF",Serie A,29.0,35,35,3109,3,5190000.0,0.08,1.31,0.1,1.93,56.73,0.815,5.77,1.07,0.42,2.27,2.01,1.99,0.7,1.01,1.53,2.57,-0.1817345838594364
"FW,MF",Premier League,23.0,11,2,209,0,2416928.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
FW,Premier League,24.0,24,21,1870,9,2719044.0,0.35,2.5,0.35,3.65,34.41,0.672,3.82,3.21,1.1,5.45,8.35,0.66,0.44,1.45,0.66,1.1,1.6283716028179829
FW,Premier League,22.0,35,35,2919,16,11782526.0,0.36,2.83,0.31,5.44,44.36,0.756,3.64,4.92,1.47,7.86,14.85,2.02,0.4,1.26,0.64,0.62,3.4384777894954017
DF,Ligue 1,26.0,8,6,533,0,2700000.0,0.0,0.5,0.5,3.85,63.9,0.792,4.85,2.61,0.62,2.24,7.46,2.11,0.75,1.37,1.62,0.25,-0.1817345838594364
FW,Serie A,30.0,27,9,1051,4,1280000.0,0.34,2.23,0.09,2.74,16.87,0.655,1.11,1.11,0.86,4.37,7.36,0.69,0.09,0.94,0.6,2.65,-0.1817345838594364
DF,Serie A,22.0,32,30,2734,0,1040000.0,0.0,0.32,0.03,0.61,54.56,0.818,3.75,0.74,0.06,0.61,0.26,1.6,0.99,1.51,4.55,2.34,-0.1817345838594364
"FW,MF",Premier League,23.0,28,19,1767,8,4833857.0,0.41,1.94,0.05,4.02,36.06,0.78,2.7,5.45,2.14,3.77,8.46,0.81,0.31,0.76,0.56,0.1,-0.1817345838594364
FW,Premier League,32.0,19,9,981,9,2779468.0,0.51,3.02,0.13,2.06,12.61,0.673,0.71,1.03,0.9,6.24,5.73,0.32,0.13,0.51,0.32,0.9,1.0250028739255097
"MF,DF",Premier League,29.0,4,0,85,0,3021160.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Premier League,24.0,28,24,2213,1,2719044.0,0.04,0.2,0.0,0.61,66.21,0.859,2.48,0.61,0.45,0.37,0.16,1.87,1.14,1.26,3.42,1.22,-0.1817345838594364
