position,league,age,goals,assists,annual_wage,non_penalty_goals,shots_total,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,touches_att_pen,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,goals_against,save_%,save%_penalty_kicks,clean_sheet_%,touches,launch_%,goal_kicks,avg_length_goal_kicks,crosses_stopped_%,def_actions_outside_pen_area,avg_distance_def_actions,penalty_play,play_time
MF,Serie A,25.0,1,0,410000.0,0.08,1.22,2.28,37.39,0.717,3.35,1.07,0.69,0.91,2.74,3.27,0.84,1.98,0.99,0.61,,,,,,,,,,,,-0.3573753679181039,0.15456742161917328
"MF,DF",Premier League,22.0,0,0,906348.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.845085035215094
DF,Premier League,25.0,0,0,906348.0,0.0,0.61,1.07,53.48,0.857,2.75,0.31,0.46,0.61,0.92,1.53,1.38,1.38,3.97,1.22,,,,,,,,,,,,-0.3573753679181039,-1.7092099731256798
"FW,MF",Premier League,21.0,1,0,725381.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.1533374525665487
DF,Serie A,30.0,0,1,1480000.0,0.0,0.77,2.37,49.67,0.823,3.14,1.74,0.42,1.67,5.65,1.05,0.49,1.53,1.81,1.26,,,,,,,,,,,,-0.3573753679181039,-0.5542254945884805
MF,Serie A,23.0,0,1,370000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.3075852131278416
MF,Premier League,29.0,0,2,3021160.0,0.0,0.53,1.91,50.4,0.837,3.56,0.59,0.33,0.92,2.7,2.04,0.72,1.32,1.58,0.59,,,,,,,,,,,,-0.3573753679181039,0.13318536726067656
DF,Premier League,28.0,1,3,2114812.0,0.06,0.51,1.59,36.6,0.715,2.67,0.64,0.06,0.76,2.23,1.72,0.89,2.04,2.99,1.53,,,,,,,,,,,,-0.3573753679181039,-0.0011803056246170278
FW,Premier League,27.0,4,6,2114812.0,0.16,2.1,3.39,34.14,0.754,3.17,2.26,0.75,3.01,6.94,1.29,0.54,1.56,0.65,0.16,,,,,,,,,,,,-0.3573753679181039,0.818425612131218
"FW,MF",Premier League,26.0,5,3,4833857.0,0.53,3.06,3.37,30.56,0.769,3.58,4.95,0.74,6.74,8.85,0.74,0.42,0.0,0.53,0.42,,,,,,,,,,,,-0.3573753679181039,-0.9674580369124677
"FW,MF",Premier League,21.0,3,6,2416928.0,0.13,3.06,4.76,63.0,0.826,8.04,3.1,0.83,4.02,7.43,1.84,0.57,1.57,0.39,0.52,,,,,,,,,,,,-0.3573753679181039,0.32009020764516594
DF,Serie A,30.0,1,1,1150000.0,0.04,1.05,2.1,32.53,0.747,3.33,2.54,1.14,1.27,3.86,1.67,1.14,1.18,2.76,0.66,,,,,,,,,,,,-0.3573753679181039,1.638693934955319
MF,Serie A,35.0,2,8,4870000.0,0.05,1.26,3.53,53.02,0.862,5.91,2.9,0.74,1.94,3.83,1.94,1.01,0.88,1.45,0.52,,,,,,,,,,,,-0.3573753679181039,2.652028608987081
DF,Ligue 1,30.0,1,0,850000.0,0.15,1.19,1.33,59.31,0.878,5.34,2.97,0.3,1.78,4.89,1.48,1.48,1.19,0.44,0.74,,,,,,,,,,,,-0.3573753679181039,-1.6986408489577998
"FW,MF",Ligue 1,24.0,0,0,60000.0,0.14,0.82,0.96,53.48,0.88,6.7,0.82,0.55,0.96,1.23,3.56,1.64,1.09,1.23,2.05,,,,,,,,,,,,-0.3573753679181039,-2.904744056628786
MF,Ligue 1,24.0,2,0,600000.0,0.1,1.58,2.76,43.65,0.85,4.75,1.69,1.28,2.3,3.02,2.5,0.66,1.02,0.92,0.97,,,,,,,,,,,,-0.3573753679181039,0.5371360744633203
DF,Bundesliga,25.0,0,2,2500000.0,0.0,0.73,1.47,82.97,0.877,4.79,1.16,0.27,0.7,1.28,0.73,1.16,1.08,3.25,1.35,,,,,,,,,,,,-0.3573753679181039,1.2006131870198309
DF,La Liga,26.0,0,0,410000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.163337947370407
"FW,MF",Serie A,25.0,3,0,3590000.0,0.24,1.3,2.59,40.54,0.844,3.73,1.95,1.22,2.92,6.57,1.86,0.49,0.89,0.41,1.14,,,,,,,,,,,,-0.3573753679181039,-1.318261183093349
DF,Bundesliga,23.0,1,0,150000.0,0.0,0.4,1.8,109.6,0.887,8.2,2.0,0.0,1.2,0.0,0.6,1.0,0.6,3.0,3.0,,,,,,,,,,,,-0.3573753679181039,-2.028399522507165
FW,La Liga,24.0,13,2,2890000.0,0.39,2.11,1.43,16.74,0.714,0.98,0.74,0.36,3.84,4.68,0.48,0.15,0.74,0.8,1.79,,,,,,,,,,,,-0.3573753679181039,2.7659536896055816
FW,Bundesliga,21.0,4,2,3000000.0,0.36,3.62,3.14,24.49,0.714,1.33,1.81,2.05,6.88,7.6,1.33,0.24,1.21,0.48,1.57,,,,,,,,,,,,-0.3573753679181039,-1.3479397237090143
MF,La Liga,24.0,1,0,1920000.0,0.08,0.23,1.79,45.82,0.798,4.36,0.47,0.16,0.39,0.78,1.87,0.86,0.62,1.87,1.09,,,,,,,,,,,,-0.3573753679181039,-0.24387405505533627
MF,Ligue 1,25.0,2,0,820000.0,0.11,1.32,2.3,42.88,0.88,3.74,1.44,1.06,0.83,2.38,1.7,0.64,0.79,0.68,0.53,,,,,,,,,,,,-0.3573753679181039,1.9294611043808998
"FW,MF",Premier League,28.0,12,3,4229625.0,0.49,1.8,2.17,23.68,0.772,1.6,1.56,1.52,4.34,5.16,0.78,0.41,0.82,0.37,0.29,,,,,,,,,,,,1.3199990103336146,1.2959164632360198
DF,La Liga,29.0,0,1,3120000.0,0.0,0.05,1.57,52.89,0.779,4.39,1.78,0.89,1.25,4.55,1.57,1.25,0.84,2.04,0.89,,,,,,,,,,,,-0.3573753679181039,0.26448472739349754
DF,Bundesliga,27.0,1,1,1000000.0,0.06,1.0,2.41,41.3,0.721,3.05,1.35,1.12,1.94,2.88,1.94,1.0,2.17,2.53,1.17,,,,,,,,,,,,-0.3573753679181039,0.26614484916771647
FW,La Liga,36.0,8,9,2900000.0,0.21,2.5,5.9,43.49,0.733,5.48,2.71,0.94,4.47,6.69,0.35,0.31,0.73,0.31,0.28,,,,,,,,,,,,4.572116721381125,2.1732024594493455
DF,Bundesliga,22.0,2,2,1208464.0,0.09,0.84,1.87,67.72,0.842,5.57,2.67,0.66,1.83,3.6,1.87,1.22,1.5,2.95,0.37,,,,,,,,,,,,-0.3573753679181039,0.337735298955072
"FW,MF",La Liga,25.0,0,2,1500000.0,0.0,3.17,6.08,35.24,0.647,3.68,2.03,1.52,2.92,6.85,1.77,0.51,1.01,0.51,1.39,,,,,,,,,,,,0.42999629847979226,-1.0240987549600842
MF,Premier League,26.0,0,0,4531741.0,0.0,0.72,1.53,37.72,0.798,3.95,0.45,0.54,1.08,0.63,3.77,1.26,2.07,1.8,0.72,,,,,,,,,,,,-0.3573753679181039,-0.7132807069950137
MF,La Liga,23.0,0,0,420000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.904744056628786
DF,Premier League,24.0,0,0,4229625.0,0.0,0.5,1.21,82.43,0.879,6.11,1.29,0.42,0.75,0.17,2.25,1.33,1.08,3.12,4.16,,,,,,,,,,,,-0.3573753679181039,0.12595936980015787
FW,La Liga,24.0,0,0,600000.0,0.0,1.3,1.46,18.65,0.713,1.14,0.49,0.65,3.57,6.16,1.3,0.0,0.32,1.3,3.24,,,,,,,,,,,,-0.3573753679181039,-2.2269567342418792
MF,Ligue 1,26.0,0,1,330000.0,0.0,0.78,1.99,42.33,0.823,5.01,0.92,0.58,1.41,0.92,2.77,0.97,1.12,1.56,1.51,,,,,,,,,,,,-0.3573753679181039,0.49963177863633873
MF,La Liga,28.0,0,0,820000.0,0.0,0.54,0.97,40.34,0.836,3.67,0.05,0.86,0.22,0.38,2.75,0.65,1.24,2.0,1.73,,,,,,,,,,,,-0.3573753679181039,0.036323990202364584
MF,Premier League,34.0,4,0,4833857.0,0.14,1.28,2.56,42.73,0.838,4.03,1.33,0.55,1.01,1.97,3.71,1.28,1.05,0.73,0.64,,,,,,,,,,,,-0.3573753679181039,0.8699089287648354
"DF,FW",La Liga,25.0,0,2,180000.0,0.0,0.91,1.71,39.14,0.586,2.67,0.97,0.34,0.46,2.79,2.62,0.97,1.37,3.7,0.74,,,,,,,,,,,,-0.3573753679181039,0.022705434281632866
DF,La Liga,31.0,1,1,1140000.0,0.03,0.66,0.84,46.59,0.817,2.5,0.24,0.24,1.11,0.24,1.41,1.35,0.96,3.97,1.68,,,,,,,,,,,,-0.3573753679181039,2.5666819408022787
"FW,MF",Ligue 1,25.0,0,0,910000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.463218161053841
DF,Premier League,26.0,0,0,2719044.0,0.0,0.29,1.55,80.69,0.924,5.7,1.85,0.88,0.42,0.63,1.3,0.75,1.05,2.77,1.26,,,,,,,,,,,,-0.3573753679181039,0.27681599426769254
"MF,DF",Ligue 1,27.0,0,0,950000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.468167397989722
DF,La Liga,27.0,0,2,2000000.0,0.0,0.42,0.62,61.03,0.854,4.64,0.86,0.18,0.57,0.0,1.3,1.09,1.12,3.32,2.83,,,,,,,,,,,,-0.3573753679181039,1.824432267770365
"DF,FW",Bundesliga,30.0,7,5,2700000.0,0.47,2.19,2.66,26.96,0.698,1.88,2.09,1.41,3.96,7.93,1.2,0.63,0.63,0.89,1.62,,,,,,,,,,,,-0.3573753679181039,0.6632633952510708
"FW,MF",La Liga,31.0,2,0,2200000.0,0.12,2.0,3.88,58.47,0.829,6.59,2.71,2.59,3.29,6.24,1.06,0.12,0.82,0.0,0.24,,,,,,,,,,,,-0.3573753679181039,-1.2647636725028284
"FW,MF",La Liga,21.0,0,2,1620000.0,0.0,0.62,2.77,30.05,0.728,3.08,1.23,0.62,2.16,2.93,2.93,0.62,0.46,1.39,1.54,,,,,,,,,,,,-0.3573753679181039,-1.4261935437521691
DF,Serie A,22.0,2,2,330000.0,0.12,0.31,0.86,61.12,0.804,2.88,0.25,0.31,0.74,1.1,1.41,0.49,1.35,3.86,2.51,,,,,,,,,,,,-0.3573753679181039,0.05874952758466146
MF,Bundesliga,24.0,0,0,720000.0,0.0,0.3,1.37,61.08,0.9,4.36,0.56,0.1,0.3,0.41,2.38,1.37,0.81,0.71,1.01,,,,,,,,,,,,-0.3573753679181039,-2.963115788995942
"FW,MF",Ligue 1,24.0,3,3,2000000.0,0.16,1.99,3.28,30.07,0.823,3.51,3.01,2.58,4.22,8.43,1.05,0.27,0.66,0.43,0.35,,,,,,,,,,,,-0.3573753679181039,0.7037818718302022
DF,La Liga,23.0,0,0,210000.0,0.0,0.18,0.73,59.51,0.822,3.83,2.37,0.73,0.55,2.56,1.28,1.28,1.1,2.37,1.83,,,,,,,,,,,,-0.3573753679181039,-1.9916138863626982
MF,Ligue 1,25.0,1,3,1970000.0,0.11,2.17,4.34,60.14,0.809,8.47,1.95,1.09,1.74,3.47,1.19,0.98,0.87,0.43,0.98,,,,,,,,,,,,-0.3573753679181039,-1.1518591917492038
GK,Premier League,26.0,0,0,1812696.0,,,,,0.0,,,,,,,,,,,2.6,4.8,,0.0,34.0,3.2,7.0,40.4,0.7,1.0,14.7,-0.3573753679181039,-2.686406778150169
MF,Serie A,24.0,0,0,280000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.604690929467936
"MF,DF",Bundesliga,26.0,0,0,560000.0,0.56,1.97,3.16,28.95,0.633,2.32,2.67,0.7,5.55,9.91,1.26,0.42,0.98,0.63,0.91,,,,,,,,,,,,-0.3573753679181039,-2.820626543330896
DF,La Liga,31.0,0,0,700000.0,0.0,0.31,1.44,39.14,0.726,2.7,0.8,0.49,0.4,2.39,1.56,0.86,0.86,2.94,0.77,,,,,,,,,,,,-0.3573753679181039,2.1023306693445045
"FW,MF",La Liga,29.0,4,1,1200000.0,0.09,2.37,3.74,39.46,0.678,4.1,1.32,1.14,1.71,5.09,1.44,0.63,0.9,1.26,1.2,,,,,,,,,,,,2.997373388585333,2.586949619591655
"FW,MF",Serie A,28.0,1,1,1090000.0,0.1,1.85,2.99,20.6,0.64,1.75,1.54,2.06,2.78,5.05,0.62,0.21,0.62,1.13,2.78,,,,,,,,,,,,0.42999629847979226,-0.4780586405929261
MF,La Liga,32.0,8,5,6250000.0,0.24,2.34,5.87,60.02,0.799,8.28,3.77,2.85,2.89,5.4,1.53,0.41,0.71,0.24,0.61,,,,,,,,,,,,2.997373388585333,1.5915619770521614
DF,Ligue 1,24.0,1,2,650000.0,0.05,1.26,3.06,52.44,0.706,3.44,2.62,0.55,2.9,7.98,3.34,0.77,1.15,2.52,2.62,,,,,,,,,,,,-0.3573753679181039,0.002308728787310992
"FW,MF",Ligue 1,26.0,3,4,4680000.0,0.24,1.77,2.91,29.09,0.759,2.39,3.06,0.96,5.54,9.12,0.91,0.67,1.39,0.53,1.48,,,,,,,,,,,,-0.3573753679181039,-0.008904039903837441
DF,Ligue 1,34.0,1,1,1800000.0,0.04,0.23,1.13,54.45,0.835,4.05,2.66,0.94,1.35,3.98,2.51,1.13,1.2,2.89,1.5,,,,,,,,,,,,-0.3573753679181039,1.7361820755372783
MF,Serie A,26.0,2,2,7040000.0,0.08,1.08,2.78,65.48,0.88,6.09,2.01,1.16,0.85,2.39,2.24,0.77,0.77,0.69,0.93,,,,,,,,,,,,1.3199990103336146,-0.6403759623882719
"MF,DF",Ligue 1,20.0,0,0,400000.0,0.0,0.49,1.23,43.53,0.857,4.26,0.93,1.08,0.1,0.54,1.37,1.03,0.98,1.52,0.74,,,,,,,,,,,,-0.3573753679181039,0.28701228570789045
DF,Ligue 1,37.0,2,0,780000.0,0.08,0.41,0.32,31.5,0.867,1.3,0.04,0.16,0.49,0.04,0.77,1.22,1.34,3.49,0.93,,,,,,,,,,,,-0.3573753679181039,1.195464030833684
DF,Premier League,27.0,0,0,4229625.0,0.0,0.28,0.28,66.21,0.884,3.93,0.73,0.11,0.45,0.11,1.8,1.01,1.63,5.27,1.63,,,,,,,,,,,,-0.3573753679181039,-0.24533838019321538
DF,Premier League,23.0,0,2,1208464.0,0.0,0.34,1.73,40.36,0.713,2.79,3.32,1.15,1.06,5.39,2.69,0.91,1.06,2.74,0.82,,,,,,,,,,,,-0.3573753679181039,0.552579420407835
"FW,MF",Ligue 1,23.0,0,0,250000.0,0.0,2.74,2.28,36.79,0.715,2.89,2.28,1.52,5.47,10.34,0.76,0.61,1.98,0.76,6.08,,,,,,,,,,,,-0.3573753679181039,-2.3198144590699403
"DF,FW",Ligue 1,30.0,1,2,400000.0,0.06,0.76,2.0,45.85,0.75,2.94,1.7,0.65,1.76,3.17,1.59,1.47,1.23,3.23,1.17,,,,,,,,,,,,-0.3573753679181039,-0.11609485772121905
FW,Ligue 1,30.0,1,1,1850000.0,0.12,1.29,1.99,32.3,0.736,2.69,2.11,1.17,3.51,8.89,1.17,0.59,1.05,0.7,1.76,,,,,,,,,,,,-0.3573753679181039,-1.1003946356605838
MF,Serie A,23.0,3,2,1540000.0,0.12,0.95,3.44,57.13,0.822,6.0,2.15,0.7,0.95,2.24,1.04,0.7,0.87,1.32,0.83,,,,,,,,,,,,-0.3573753679181039,1.2254883984041816
DF,Bundesliga,31.0,1,0,1890000.0,0.05,0.78,0.59,31.2,0.716,1.96,0.23,0.05,2.65,0.41,0.91,1.64,1.87,5.71,6.44,,,,,,,,,,,,-0.3573753679181039,0.6497697434213585
GK,Serie A,30.0,0,0,3700000.0,,,,,0.0,,,,,,,,,,,1.1,7.23,0.0,3.68,35.11,2.0,5.39,34.9,0.42,0.64,13.5,-0.3573753679181039,1.827850409636973
MF,La Liga,36.0,2,1,6450000.0,0.08,1.8,4.86,66.95,0.758,7.88,1.53,0.39,1.29,3.21,2.04,0.86,1.18,0.74,0.71,,,,,,,,,,,,-0.3573753679181039,-0.244694735669947
FW,Premier League,28.0,4,2,1208464.0,0.26,3.11,2.45,26.87,0.527,2.51,1.46,0.6,4.17,6.15,0.93,0.66,0.26,1.13,3.51,,,,,,,,,,,,-0.3573753679181039,-0.28375713233905153
GK,Premier League,28.0,0,0,860000.0,,,,,0.0,,,,,,,,,,,2.4,6.59,0.0,0.91,38.08,5.02,10.32,52.6,0.74,1.2,11.9,-0.3573753679181039,-1.5409790691438254
MF,La Liga,29.0,0,2,470000.0,0.0,0.74,2.02,25.49,0.515,1.62,2.71,1.38,1.13,5.36,1.97,0.34,1.08,0.93,0.84,,,,,,,,,,,,-0.3573753679181039,0.8596856315517878
DF,La Liga,32.0,0,1,450000.0,0.0,0.32,1.53,47.4,0.754,3.08,1.79,0.26,0.98,3.43,1.41,0.86,0.89,2.04,0.98,,,,,,,,,,,,-0.3573753679181039,2.380797700282666
MF,La Liga,25.0,5,4,550000.0,0.16,0.62,2.15,52.1,0.914,4.76,2.8,1.21,1.89,3.52,1.37,0.68,0.85,0.52,0.33,,,,,,,,,,,,-0.3573753679181039,2.3404919013394956
GK,La Liga,26.0,0,0,1040000.0,,,,,0.0,,,,,,,,,,,1.47,6.42,3.33,0.0,31.61,3.91,9.04,47.4,0.51,0.84,13.6,-0.3573753679181039,-1.2239203725824115
GK,La Liga,25.0,0,0,3250000.0,,,,,0.0,,,,,,,,,,,1.8,5.66,,1.67,32.71,1.48,5.0,34.5,0.14,0.62,11.3,-0.3573753679181039,-1.348658383391529
DF,La Liga,31.0,0,2,1000000.0,0.0,0.23,1.64,58.21,0.796,5.53,2.11,0.84,0.42,1.64,1.83,0.61,1.03,2.29,0.75,,,,,,,,,,,,-0.3573753679181039,0.7806733876675738
MF,La Liga,30.0,1,1,760000.0,0.04,0.4,2.16,51.49,0.801,6.16,1.08,0.94,0.31,1.39,2.2,0.67,0.72,0.72,0.99,,,,,,,,,,,,-0.3573753679181039,1.1106758672396755
MF,Premier League,34.0,0,0,2719044.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.7828514357083285
"FW,MF",Premier League,27.0,3,3,5438089.0,0.15,1.45,2.63,26.79,0.653,2.78,2.9,1.14,2.36,5.56,1.45,0.46,1.11,0.91,0.38,,,,,,,,,,,,-0.3573753679181039,1.3570626929465148
DF,Premier League,30.0,1,1,1510580.0,0.03,0.45,0.74,39.22,0.717,1.93,0.26,0.16,1.0,0.42,1.29,1.0,1.55,4.19,2.09,,,,,,,,,,,,-0.3573753679181039,2.389537911812837
"FW,MF",Premier League,26.0,2,0,1812696.0,0.18,2.3,1.32,21.82,0.551,1.68,2.21,0.53,4.42,4.68,1.68,0.71,1.77,1.94,3.8,,,,,,,,,,,,-0.3573753679181039,-0.6674090323655433
"FW,MF",Premier League,25.0,6,0,2114812.0,0.36,3.05,3.2,37.29,0.71,2.69,4.36,1.38,6.25,9.89,0.73,0.44,1.24,1.67,0.95,,,,,,,,,,,,1.3199990103336146,0.4141729647462125
"DF,FW",Premier League,29.0,3,7,2114812.0,0.14,2.02,3.9,37.95,0.669,3.9,2.6,1.01,3.4,8.39,1.52,0.36,1.3,1.23,0.29,,,,,,,,,,,,-0.3573753679181039,-0.33940837890856695
"FW,MF",Premier League,22.0,1,1,4229625.0,0.17,2.0,2.79,31.89,0.795,2.61,3.83,1.31,4.7,6.88,1.57,0.26,1.48,1.05,0.44,,,,,,,,,,,,-0.3573753679181039,-1.1562626824799864
"FW,MF",Bundesliga,24.0,2,2,3500000.0,0.21,0.75,4.51,47.12,0.808,5.21,5.64,3.7,5.04,10.25,0.86,0.32,1.56,0.43,0.05,,,,,,,,,,,,-0.3573753679181039,-0.8273475727041554
FW,Premier League,24.0,0,0,1521142.0,0.18,3.6,5.04,57.06,0.763,4.5,5.94,1.98,4.68,11.52,2.52,0.36,1.8,0.72,0.54,,,,,,,,,,,,-0.3573753679181039,-2.6492753150508697
"FW,MF",Serie A,29.0,1,0,760000.0,0.18,1.62,2.89,36.07,0.7,5.23,2.16,0.9,2.53,7.03,0.72,0.72,0.9,0.18,0.72,,,,,,,,,,,,-0.3573753679181039,-1.7675108129475152
"FW,MF",La Liga,35.0,5,1,2140000.0,0.29,1.73,2.02,26.26,0.626,1.15,0.77,0.43,3.75,7.26,1.44,0.82,1.06,1.64,2.55,,,,,,,,,,,,-0.3573753679181039,1.0835178931713847
DF,Serie A,25.0,0,0,1030000.0,0.0,0.65,0.3,38.0,0.798,1.9,0.26,0.04,1.25,0.04,1.94,1.08,1.6,6.0,3.45,,,,,,,,,,,,-0.3573753679181039,0.722128741823002
"FW,MF",Serie A,28.0,1,2,1850000.0,0.1,1.24,2.37,26.11,0.636,2.68,1.24,0.1,2.17,4.95,1.24,0.52,0.52,2.06,0.31,,,,,,,,,,,,-0.3573753679181039,-0.7630412545369439
"FW,MF",Bundesliga,21.0,0,2,1150000.0,0.17,2.04,2.04,30.96,0.753,3.23,2.55,0.34,4.08,9.36,2.38,0.51,0.85,0.68,0.17,,,,,,,,,,,,-0.3573753679181039,-1.5622422215706049
DF,Premier League,24.0,1,3,3504546.0,0.12,0.74,1.23,54.56,0.831,4.84,0.37,0.37,1.41,1.41,1.84,0.61,0.8,1.96,1.53,,,,,,,,,,,,-0.3573753679181039,-0.7133786053131836
"MF,DF",Premier League,25.0,0,0,604232.0,0.0,1.53,1.88,44.49,0.785,3.58,1.7,1.02,2.05,3.75,2.56,0.34,1.19,1.7,0.34,,,,,,,,,,,,-0.3573753679181039,-1.3606397006969653
DF,Premier League,30.0,1,0,2416928.0,0.06,0.47,0.76,57.47,0.857,2.41,0.53,0.12,1.71,0.35,1.12,0.29,1.35,3.41,3.76,,,,,,,,,,,,-0.3573753679181039,-0.739470213198751
"FW,MF",Bundesliga,21.0,10,5,5000000.0,0.43,2.87,4.98,38.43,0.826,5.25,5.34,4.09,6.04,7.79,1.72,0.92,1.22,0.17,0.3,,,,,,,,,,,,-0.3573753679181039,0.5151771455129495
MF,Premier League,23.0,1,2,1812696.0,0.03,1.25,3.0,38.08,0.766,3.03,1.13,0.55,1.16,2.39,2.41,1.37,1.34,1.48,0.67,,,,,,,,,,,,-0.3573753679181039,2.7940032368338037
DF,Premier League,22.0,0,0,181270.0,0.07,0.9,1.39,65.52,0.775,4.78,1.46,0.07,1.18,1.87,2.29,2.01,1.18,4.37,3.54,,,,,,,,,,,,-0.3573753679181039,-2.6420223118175015
"MF,DF",Premier League,38.0,0,2,3625393.0,0.0,0.6,2.38,68.22,0.843,7.4,1.36,0.26,1.79,8.0,2.38,0.68,1.02,2.04,0.94,,,,,,,,,,,,-0.3573753679181039,-1.10049665659268
DF,Premier League,31.0,1,1,6042321.0,0.03,0.72,1.13,40.81,0.774,3.44,0.38,0.38,2.31,0.59,1.64,1.56,2.08,5.0,3.87,,,,,,,,,,,,-0.3573753679181039,3.3328173537404426
DF,Premier League,35.0,0,0,3021160.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.7937933926038907
GK,Premier League,21.0,0,0,1510580.0,,,,,0.0,,,,,,,,,,,2.21,6.57,0.0,0.71,58.25,3.39,7.07,54.2,0.72,1.54,15.0,-0.3573753679181039,1.661275504815411
MF,Premier League,29.0,7,7,6948669.0,0.14,1.18,3.44,51.93,0.835,4.18,0.55,0.3,0.9,1.87,1.32,1.11,0.97,1.52,0.74,,,,,,,,,,,,2.997373388585333,2.792072303263999
"FW,MF",Bundesliga,19.0,1,4,3000000.0,0.15,3.63,3.77,29.59,0.762,2.18,5.51,3.41,5.44,8.63,1.16,0.36,0.94,0.65,0.29,,,,,,,,,,,,-0.3573753679181039,-0.2031117724534682
"FW,MF",Bundesliga,23.0,4,4,1020000.0,0.24,2.66,3.75,34.57,0.78,2.06,3.93,1.57,5.44,10.21,1.09,0.3,1.33,0.79,0.24,,,,,,,,,,,,-0.3573753679181039,0.7549756161232359
DF,Premier League,23.0,0,0,1812696.0,0.0,0.56,1.38,87.84,0.923,6.13,1.01,0.17,0.76,0.28,1.69,1.07,1.86,2.84,2.36,,,,,,,,,,,,-0.3573753679181039,1.4558111168021615
MF,Bundesliga,24.0,2,2,480000.0,0.09,0.8,1.51,30.22,0.664,3.2,0.75,0.52,1.55,1.41,2.21,1.18,1.65,2.59,1.74,,,,,,,,,,,,-0.3573753679181039,0.9443008816683798
"DF,FW",Bundesliga,21.0,1,0,1200000.0,0.06,2.01,2.62,30.71,0.658,3.01,2.74,1.12,1.95,4.02,1.56,0.45,1.84,1.62,1.28,,,,,,,,,,,,-0.3573753679181039,0.29158868991608927
"FW,MF",Bundesliga,25.0,8,11,290000.0,0.25,1.68,4.11,32.47,0.576,2.0,2.68,1.0,1.97,4.58,2.61,0.64,1.64,1.11,0.29,,,,,,,,,,,,0.42999629847979226,2.0425696269987164
"MF,DF",Bundesliga,30.0,1,1,1080000.0,0.0,1.02,2.04,37.71,0.747,3.54,0.91,0.59,1.34,3.05,2.25,0.8,1.39,1.23,1.61,,,,,,,,,,,,-0.3573753679181039,-0.31881175416397917
GK,Bundesliga,33.0,0,0,1500000.0,,,,,0.0,,,,,,,,,,,1.46,6.35,0.0,1.92,48.31,1.56,7.08,30.6,0.46,1.65,18.1,-0.3573753679181039,0.49074565940160114
"MF,DF",Bundesliga,30.0,0,0,130000.0,0.0,0.24,0.87,43.57,0.772,2.46,0.63,0.16,0.4,0.56,2.62,1.35,1.9,3.1,1.67,,,,,,,,,,,,-0.3573753679181039,-0.7588504414421222
DF,Ligue 1,21.0,0,0,250000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.5075276122272623
DF,Premier League,21.0,3,0,2114812.0,0.09,0.42,0.74,40.45,0.799,2.14,0.06,0.15,1.16,0.18,1.93,1.49,1.34,4.64,2.77,,,,,,,,,,,,-0.3573753679181039,2.8099214364380964
FW,Premier League,27.0,16,6,7250785.0,0.44,2.62,2.86,22.08,0.694,1.61,2.81,1.1,5.38,6.04,1.15,0.51,0.98,0.39,1.03,,,,,,,,,,,,-0.3573753679181039,2.638197375430388
GK,Premier League,33.0,0,0,1208464.0,,,,,0.0,,,,,,,,,,,1.96,5.66,0.0,1.6,40.72,1.88,3.12,18.8,0.45,2.48,20.4,-0.3573753679181039,-0.17812853797771896
DF,La Liga,36.0,0,1,420000.0,0.0,0.26,1.86,43.6,0.722,2.59,1.81,0.52,1.09,5.33,1.97,0.93,0.73,1.76,0.67,,,,,,,,,,,,-0.3573753679181039,0.5777565719745478
GK,La Liga,33.0,0,0,1450000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.805551907500137
DF,La Liga,29.0,0,1,3250000.0,0.0,0.27,2.14,54.03,0.796,3.37,3.85,1.66,1.12,5.61,3.37,1.66,1.92,1.34,0.69,,,,,,,,,,,,-0.3573753679181039,-0.5205871885150352
DF,La Liga,26.0,1,2,190000.0,0.04,1.14,2.17,45.23,0.703,3.35,1.45,0.49,1.07,2.21,1.6,0.65,1.18,2.47,1.03,,,,,,,,,,,,-0.3573753679181039,1.6005021078325985
DF,La Liga,22.0,1,3,160000.0,0.04,0.69,1.95,43.26,0.686,3.45,2.11,1.54,1.62,4.54,0.89,0.41,0.97,3.04,1.14,,,,,,,,,,,,-0.3573753679181039,1.4750225541820423
"MF,DF",La Liga,30.0,0,1,1140000.0,0.0,0.14,0.96,53.45,0.817,3.3,0.69,0.55,1.1,2.2,1.65,0.27,1.79,1.92,1.65,,,,,,,,,,,,-0.3573753679181039,-1.338759909519767
